window,case,n,mean_reward,mean_process,mean_cf,pos_rate,neg_rate,success_rate
601-700,verdict=reject|before=False|after=False|fmt=True|contra=False|tags=1,764,0.0,0.07476439790575803,0.07476439790575803,0.0,0.0,0.002617801047120419
601-700,verdict=reject|before=True|after=True|fmt=True|contra=False|tags=1,166,0.08544176706827321,0.0,-0.25,0.4939759036144578,0.0,1.0
601-700,verdict=approve|before=False|after=False|fmt=True|contra=True|tags=1,74,0.0,0.0,-0.25,0.0,0.0,0.0
601-700,verdict=approve|before=True|after=True|fmt=True|contra=True|tags=1,58,0.0,0.0,-0.25,0.0,0.0,1.0
601-700,verdict=reject|before=False|after=False|fmt=True|contra=True|tags=1,54,0.0,0.0,-0.25,0.0,0.0,0.0
601-700,verdict=reject|before=True|after=True|fmt=True|contra=True|tags=1,16,0.10937500000000001,0.0,-0.25,0.625,0.0,1.0
701-746,verdict=approve|before=False|after=False|fmt=True|contra=False|tags=1,556,0.0,0.0,-0.25,0.0,0.0,0.0
701-746,verdict=approve|before=True|after=True|fmt=True|contra=False|tags=1,534,0.15126105618906197,0.6000000000000013,0.6000000000000013,1.0,0.0,1.0
701-746,verdict=reject|before=False|after=False|fmt=True|contra=False|tags=1,258,0.0,0.07441860465116257,0.07441860465116257,0.0,0.0,0.023255813953488372
701-746,verdict=reject|before=True|after=True|fmt=True|contra=False|tags=1,44,0.08636363636363632,0.0,-0.25,0.5,0.0,1.0
701-746,verdict=reject|before=False|after=False|fmt=True|contra=True|tags=1,32,0.0,0.0,-0.25,0.0,0.0,0.0
701-746,verdict=approve|before=False|after=False|fmt=True|contra=True|tags=1,28,0.0,0.0,-0.25,0.0,0.0,0.0
701-746,verdict=approve|before=True|after=True|fmt=True|contra=True|tags=1,20,0.0,0.0,-0.25,0.0,0.0,1.0
